       !--SM result, g1 = (2d0,0d0), gi = zero

  check_zh(        -5,          -5  )=  0.000000000000000E+000
  check_zh(        -5,          -4  )=  0.000000000000000E+000
  check_zh(        -5,          -3  )=  0.000000000000000E+000
  check_zh(        -5,          -2  )=  0.000000000000000E+000
  check_zh(        -5,          -1  )=  0.000000000000000E+000
  check_zh(        -5,           0  )=  0.000000000000000E+000
  check_zh(        -5,           1  )=  0.000000000000000E+000
  check_zh(        -5,           2  )=  0.000000000000000E+000
  check_zh(        -5,           3  )=  0.000000000000000E+000
  check_zh(        -5,           4  )=  0.000000000000000E+000
  check_zh(        -5,           5  )=  63.0629870966374d0
  check_zh(        -4,          -5  )=  0.000000000000000E+000
  check_zh(        -4,          -4  )=  0.000000000000000E+000
  check_zh(        -4,          -3  )=  0.000000000000000E+000
  check_zh(        -4,          -2  )=  0.000000000000000E+000
  check_zh(        -4,          -1  )=  0.000000000000000E+000
  check_zh(        -4,           0  )=  0.000000000000000E+000
  check_zh(        -4,           1  )=  0.000000000000000E+000
  check_zh(        -4,           2  )=  0.000000000000000E+000
  check_zh(        -4,           3  )=  0.000000000000000E+000
  check_zh(        -4,           4  )=  42.1752844794042d0
  check_zh(        -4,           5  )=  0.000000000000000E+000
  check_zh(        -3,          -5  )=  0.000000000000000E+000
  check_zh(        -3,          -4  )=  0.000000000000000E+000
  check_zh(        -3,          -3  )=  0.000000000000000E+000
  check_zh(        -3,          -2  )=  0.000000000000000E+000
  check_zh(        -3,          -1  )=  0.000000000000000E+000
  check_zh(        -3,           0  )=  0.000000000000000E+000
  check_zh(        -3,           1  )=  0.000000000000000E+000
  check_zh(        -3,           2  )=  0.000000000000000E+000
  check_zh(        -3,           3  )=  63.0629870966374d0
  check_zh(        -3,           4  )=  0.000000000000000E+000
  check_zh(        -3,           5  )=  0.000000000000000E+000
  check_zh(        -2,          -5  )=  0.000000000000000E+000
  check_zh(        -2,          -4  )=  0.000000000000000E+000
  check_zh(        -2,          -3  )=  0.000000000000000E+000
  check_zh(        -2,          -2  )=  0.000000000000000E+000
  check_zh(        -2,          -1  )=  0.000000000000000E+000
  check_zh(        -2,           0  )=  0.000000000000000E+000
  check_zh(        -2,           1  )=  0.000000000000000E+000
  check_zh(        -2,           2  )=  42.1752844794042d0
  check_zh(        -2,           3  )=  0.000000000000000E+000
  check_zh(        -2,           4  )=  0.000000000000000E+000
  check_zh(        -2,           5  )=  0.000000000000000E+000
  check_zh(        -1,          -5  )=  0.000000000000000E+000
  check_zh(        -1,          -4  )=  0.000000000000000E+000
  check_zh(        -1,          -3  )=  0.000000000000000E+000
  check_zh(        -1,          -2  )=  0.000000000000000E+000
  check_zh(        -1,          -1  )=  0.000000000000000E+000
  check_zh(        -1,           0  )=  0.000000000000000E+000
  check_zh(        -1,           1  )=  63.0629870966374d0
  check_zh(        -1,           2  )=  0.000000000000000E+000
  check_zh(        -1,           3  )=  0.000000000000000E+000
  check_zh(        -1,           4  )=  0.000000000000000E+000
  check_zh(        -1,           5  )=  0.000000000000000E+000
  check_zh(         0,          -5  )=  0.000000000000000E+000
  check_zh(         0,          -4  )=  0.000000000000000E+000
  check_zh(         0,          -3  )=  0.000000000000000E+000
  check_zh(         0,          -2  )=  0.000000000000000E+000
  check_zh(         0,          -1  )=  0.000000000000000E+000
  check_zh(         0,           0  )=  0.000000000000000E+000
  check_zh(         0,           1  )=  0.000000000000000E+000
  check_zh(         0,           2  )=  0.000000000000000E+000
  check_zh(         0,           3  )=  0.000000000000000E+000
  check_zh(         0,           4  )=  0.000000000000000E+000
  check_zh(         0,           5  )=  0.000000000000000E+000
  check_zh(         1,          -5  )=  0.000000000000000E+000
  check_zh(         1,          -4  )=  0.000000000000000E+000
  check_zh(         1,          -3  )=  0.000000000000000E+000
  check_zh(         1,          -2  )=  0.000000000000000E+000
  check_zh(         1,          -1  )=  2.09372405322431d0
  check_zh(         1,           0  )=  0.000000000000000E+000
  check_zh(         1,           1  )=  0.000000000000000E+000
  check_zh(         1,           2  )=  0.000000000000000E+000
  check_zh(         1,           3  )=  0.000000000000000E+000
  check_zh(         1,           4  )=  0.000000000000000E+000
  check_zh(         1,           5  )=  0.000000000000000E+000
  check_zh(         2,          -5  )=  0.000000000000000E+000
  check_zh(         2,          -4  )=  0.000000000000000E+000
  check_zh(         2,          -3  )=  0.000000000000000E+000
  check_zh(         2,          -2  )=  8.37489621289724d0
  check_zh(         2,          -1  )=  0.000000000000000E+000
  check_zh(         2,           0  )=  0.000000000000000E+000
  check_zh(         2,           1  )=  0.000000000000000E+000
  check_zh(         2,           2  )=  0.000000000000000E+000
  check_zh(         2,           3  )=  0.000000000000000E+000
  check_zh(         2,           4  )=  0.000000000000000E+000
  check_zh(         2,           5  )=  0.000000000000000E+000
  check_zh(         3,          -5  )=  0.000000000000000E+000
  check_zh(         3,          -4  )=  0.000000000000000E+000
  check_zh(         3,          -3  )=  2.09372405322431d0
  check_zh(         3,          -2  )=  0.000000000000000E+000
  check_zh(         3,          -1  )=  0.000000000000000E+000
  check_zh(         3,           0  )=  0.000000000000000E+000
  check_zh(         3,           1  )=  0.000000000000000E+000
  check_zh(         3,           2  )=  0.000000000000000E+000
  check_zh(         3,           3  )=  0.000000000000000E+000
  check_zh(         3,           4  )=  0.000000000000000E+000
  check_zh(         3,           5  )=  0.000000000000000E+000
  check_zh(         4,          -5  )=  0.000000000000000E+000
  check_zh(         4,          -4  )=  8.37489621289724d0
  check_zh(         4,          -3  )=  0.000000000000000E+000
  check_zh(         4,          -2  )=  0.000000000000000E+000
  check_zh(         4,          -1  )=  0.000000000000000E+000
  check_zh(         4,           0  )=  0.000000000000000E+000
  check_zh(         4,           1  )=  0.000000000000000E+000
  check_zh(         4,           2  )=  0.000000000000000E+000
  check_zh(         4,           3  )=  0.000000000000000E+000
  check_zh(         4,           4  )=  0.000000000000000E+000
  check_zh(         4,           5  )=  0.000000000000000E+000
  check_zh(         5,          -5  )=  2.09372405322431d0
  check_zh(         5,          -4  )=  0.000000000000000E+000
  check_zh(         5,          -3  )=  0.000000000000000E+000
  check_zh(         5,          -2  )=  0.000000000000000E+000
  check_zh(         5,          -1  )=  0.000000000000000E+000
  check_zh(         5,           0  )=  0.000000000000000E+000
  check_zh(         5,           1  )=  0.000000000000000E+000
  check_zh(         5,           2  )=  0.000000000000000E+000
  check_zh(         5,           3  )=  0.000000000000000E+000
  check_zh(         5,           4  )=  0.000000000000000E+000
  check_zh(         5,           5  )=  0.000000000000000E+000
