   0.00585   0.00245   0.82805   0.91213   0.00000   0.00000   0.48557   0.92764
   0.00600   0.00250   2.18412   0.94369   0.00000   0.00000   0.52199   0.95924
   0.00622   0.00259   4.68943   1.00920   0.00069   0.00000   0.59453   1.02479
   0.00639   0.00265   6.93938   1.07311   0.06835   0.00000   0.66339   1.08871
   0.00656   0.00272   9.74757   1.15473   0.17739   0.00000   0.75010   1.17034
   0.00671   0.00279  12.59184   1.24006   0.26786   0.00000   0.83974   1.25568
   0.00686   0.00285  15.71620   1.33420   0.36772   0.00000   0.93795   1.34982
   0.00702   0.00291  19.58449   1.44622   0.49224   0.00000   1.05420   1.46183
   0.00715   0.00297  23.28337   1.55743   0.60663   0.00000   1.16904   1.57302
   0.00729   0.00303  27.31465   1.67482   0.73243   0.00000   1.28987   1.69039
   0.00740   0.00307  30.75279   1.77656   0.83779   0.00000   1.39430   1.79211
   0.00763   0.00317  38.89783   2.01817   1.09094   0.00044   1.64153   2.03368
   0.00783   0.00326  46.71848   2.25432   1.33851   0.20964   1.88239   2.26978
   0.00805   0.00336  56.33112   2.54970   1.64744   0.58858   2.18290   2.56510
   0.00829   0.00347  67.70467   2.89625   2.00887   0.96709   2.53467   2.91158
   0.00851   0.00357  79.06387   3.24413   2.36632   1.32884   2.88718   3.25939
   0.00873   0.00367  91.73856   3.63046   2.76496   1.74192   3.27807   3.64564
   0.00892   0.00376 103.26083   3.97972   3.12744   2.12256   3.63103   3.99483
   0.00915   0.00387 118.29268   4.43814   3.59974   2.60937   4.09386   4.45317
   0.00935   0.00396 132.58542   4.87647   4.04940   3.06999   4.53602   4.89142
   0.00954   0.00405 146.74286   5.30873   4.49592   3.53412   4.97171   5.32360
   0.00979   0.00417 165.77943   5.89603   5.09799   4.15102   5.56328   5.91079
   0.01002   0.00428 184.94156   6.49052   5.70683   4.77470   6.16170   6.50518
   0.01023   0.00438 204.19962   7.08859   6.32131   5.40806   6.76338   7.10316
   0.01045   0.00449 224.36107   7.72214   6.96849   6.06894   7.40046   7.73661
   0.01067   0.00459 245.24771   8.38133   7.64269   6.75944   8.06304   8.39570
   0.01088   0.00469 266.06628   9.04202   8.31842   7.45167   8.72689   9.05629
   0.01108   0.00479 286.41031   9.69417   8.98339   8.13010   9.38196   9.70835
   0.01128   0.00489 307.90686  10.38523   9.68943   8.85283  10.07590  10.39931
   0.01148   0.00498 329.65781  11.09263  10.40965   9.58659  10.78610  11.10662
   0.01167   0.00508 351.30969  11.79904  11.13017  10.32282  11.49512  11.81294
   0.01185   0.00517 372.31799  12.49127  11.83462  11.04050  12.18979  12.50509
   0.01203   0.00526 394.25159  13.21812  12.57437  11.79438  12.91907  13.23185
   0.01222   0.00535 416.63153  13.96398  13.33374  12.56891  13.66729  13.97763
   0.01239   0.00544 438.38248  14.69668  14.07785  13.32532  14.40220  14.71024
   0.01256   0.00553 459.91669  15.42256  14.81698  14.07970  15.13017  15.43604
   0.01274   0.00561 481.80563  16.17059  15.57575  14.85012  15.88028  16.18400
   0.00791   0.00333   0.86020   0.76857   0.00000   0.00000   0.40852   0.77754
   0.00811   0.00342   2.10394   0.79885   0.00000   0.00000   0.44255   0.80784
   0.00842   0.00354   4.35009   0.85865   0.00063   0.00000   0.50775   0.86766
   0.00865   0.00364   6.32141   0.91497   0.05932   0.00000   0.56788   0.92399
   0.00889   0.00375   8.73984   0.98557   0.15327   0.00000   0.64237   0.99459
   0.00910   0.00384  11.15188   1.05812   0.22995   0.00000   0.71823   1.06714
   0.00930   0.00393  13.76694   1.13722   0.31380   0.00000   0.80045   1.14624
   0.00951   0.00402  16.96573   1.23063   0.41746   0.00000   0.89710   1.23964
   0.00970   0.00411  19.98794   1.32233   0.51175   0.00000   0.99157   1.33133
   0.00989   0.00419  23.25026   1.41857   0.61475   0.00000   1.09044   1.42756
   0.01003   0.00426  26.00810   1.50138   0.70041   0.00000   1.17530   1.51035
   0.01035   0.00440  32.46647   1.69651   0.90453   0.00039   1.37473   1.70546
   0.01062   0.00453  38.58014   1.88541   1.10212   0.16668   1.56723   1.89434
   0.01093   0.00467  45.99443   2.11955   1.34633   0.46632   1.80529   2.12845
