 # Thu Nov  6 19:25:14 2008
 # MSTW 2008 LO PDF grid for eigenvector   13.
 # distance(t),tolerance(T) =   3.72917635  3.95335083
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.68183
 # alphaS(MZ) = 0.13939
 # alphaSorder,alphaSnfmax = 0, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
  1.3562E+02  1.1685E+00  1.1711E+00  4.8790E-01  0.0000E+00  0.0000E+00  1.3223E-04  2.6804E-03 -7.6386E-04
  1.4118E+02  1.7465E+00  1.7491E+00  1.0721E+00  0.0000E+00  0.0000E+00  1.4495E-04  2.7869E-03 -7.7477E-04
  1.4668E+02  2.1883E+00  2.1910E+00  1.5186E+00  0.0000E+00  0.0000E+00  1.5533E-04  2.8695E-03 -7.8301E-04
  1.5631E+02  2.8055E+00  2.8083E+00  2.1420E+00  0.0000E+00  0.0000E+00  1.7052E-04  2.9842E-03 -7.9420E-04
  1.5631E+02  2.8055E+00  2.8083E+00  2.1420E+00  1.5189E-06  0.0000E+00  1.7052E-04  2.9842E-03 -7.9420E-04
  1.6598E+02  3.3493E+00  3.3522E+00  2.6909E+00  6.1996E-01  0.0000E+00  1.8435E-04  3.0832E-03 -8.0360E-04
  1.7769E+02  3.8959E+00  3.8989E+00  3.2422E+00  1.2130E+00  0.0000E+00  1.9838E-04  3.1793E-03 -8.1253E-04
  1.8989E+02  4.3929E+00  4.3960E+00  3.7432E+00  1.7484E+00  0.0000E+00  2.1107E-04  3.2628E-03 -8.2014E-04
  2.0359E+02  4.8980E+00  4.9011E+00  4.2520E+00  2.2889E+00  0.0000E+00  2.2374E-04  3.3434E-03 -8.2736E-04
  2.2044E+02  5.4708E+00  5.4740E+00  4.8287E+00  2.8981E+00  0.0000E+00  2.3773E-04  3.4296E-03 -8.3494E-04
  2.3712E+02  6.0040E+00  6.0073E+00  5.3652E+00  3.4619E+00  0.0000E+00  2.5035E-04  3.5050E-03 -8.4146E-04
  2.5519E+02  6.5556E+00  6.5589E+00  5.9198E+00  4.0420E+00  0.0000E+00  2.6294E-04  3.5782E-03 -8.4769E-04
  2.7090E+02  7.0201E+00  7.0235E+00  6.3867E+00  4.5286E+00  0.0000E+00  2.7320E-04  3.6366E-03 -8.5260E-04
  3.3128E+02  8.7346E+00  8.7381E+00  8.1088E+00  6.3118E+00  0.0000E+00  3.0847E-04  3.8290E-03 -8.6841E-04
  3.3128E+02  8.7346E+00  8.7381E+00  8.1088E+00  6.3118E+00  1.7466E-07  3.0847E-04  3.8290E-03 -8.6841E-04
  3.4543E+02  9.1445E+00  9.1480E+00  8.5203E+00  6.7357E+00  5.2869E-01  3.1636E-04  3.8705E-03 -8.7174E-04
  3.9113E+02  1.0442E+01  1.0446E+01  9.8222E+00  8.0732E+00  1.9809E+00  3.4027E-04  3.9932E-03 -8.8146E-04
  4.4525E+02  1.1954E+01  1.1958E+01  1.1339E+01  9.6257E+00  3.6539E+00  3.6628E-04  4.1221E-03 -8.9144E-04
  5.0042E+02  1.3485E+01  1.3489E+01  1.2874E+01  1.1191E+01  5.3240E+00  3.9089E-04  4.2401E-03 -9.0039E-04
  5.6208E+02  1.5194E+01  1.5198E+01  1.4587E+01  1.2934E+01  7.1690E+00  4.1670E-04  4.3602E-03 -9.0932E-04
  6.1793E+02  1.6747E+01  1.6751E+01  1.6143E+01  1.4514E+01  8.8303E+00  4.3886E-04  4.4606E-03 -9.1666E-04
  6.9157E+02  1.8806E+01  1.8811E+01  1.8206E+01  1.6605E+01  1.1017E+01  4.6664E-04  4.5833E-03 -9.2547E-04
  7.6211E+02  2.0795E+01  2.0800E+01  2.0199E+01  1.8621E+01  1.3115E+01  4.9205E-04  4.6928E-03 -9.3318E-04
  8.3130E+02  2.2764E+01  2.2768E+01  2.2170E+01  2.0613E+01  1.5180E+01  5.1602E-04  4.7938E-03 -9.4020E-04
  9.2553E+02  2.5473E+01  2.5478E+01  2.4883E+01  2.3353E+01  1.8008E+01  5.4740E-04  4.9230E-03 -9.4901E-04
  1.0206E+03  2.8243E+01  2.8247E+01  2.7656E+01  2.6149E+01  2.0886E+01  5.7787E-04  5.0455E-03 -9.5722E-04
  1.1156E+03  3.1043E+01  3.1047E+01  3.0459E+01  2.8974E+01  2.3784E+01  6.0728E-04  5.1612E-03 -9.6484E-04
  1.2161E+03  3.4046E+01  3.4050E+01  3.3465E+01  3.2000E+01  2.6882E+01  6.3751E-04  5.2777E-03 -9.7240E-04
  1.3200E+03  3.7187E+01  3.7192E+01  3.6610E+01  3.5164E+01  3.0114E+01  6.6789E-04  5.3925E-03 -9.7973E-04
  1.4235E+03  4.0358E+01  4.0363E+01  3.9783E+01  3.8356E+01  3.3369E+01  6.9741E-04  5.5021E-03 -9.8662E-04
  1.5253E+03  4.3515E+01  4.3520E+01  4.2943E+01  4.1532E+01  3.6602E+01  7.2586E-04  5.6060E-03 -9.9306E-04
  1.6323E+03  4.6872E+01  4.6877E+01  4.6302E+01  4.4908E+01  4.0034E+01  7.5514E-04  5.7112E-03 -9.9950E-04
  1.7418E+03  5.0345E+01  5.0350E+01  4.9777E+01  4.8399E+01  4.3579E+01  7.8457E-04  5.8154E-03 -1.0058E-03
  1.8498E+03  5.3810E+01  5.3815E+01  5.3245E+01  5.1881E+01  4.7112E+01  8.1313E-04  5.9151E-03 -1.0117E-03
  1.9556E+03  5.7241E+01  5.7247E+01  5.6678E+01  5.5328E+01  5.0606E+01  8.4069E-04  6.0100E-03 -1.0173E-03
  2.0658E+03  6.0854E+01  6.0859E+01  6.0293E+01  5.8956E+01  5.4280E+01  8.6903E-04  6.1064E-03 -1.0229E-03
  2.1782E+03  6.4572E+01  6.4577E+01  6.4013E+01  6.2688E+01  5.8057E+01  8.9753E-04  6.2021E-03 -1.0284E-03
  2.2886E+03  6.8263E+01  6.8268E+01  6.7706E+01  6.6393E+01  6.1804E+01  9.2522E-04  6.2940E-03 -1.0337E-03
  2.3963E+03  7.1897E+01  7.1902E+01  7.1341E+01  7.0040E+01  6.5490E+01  9.5194E-04  6.3818E-03 -1.0386E-03
  2.5081E+03  7.5702E+01  7.5707E+01  7.5148E+01  7.3858E+01  6.9347E+01  9.7941E-04  6.4711E-03 -1.0436E-03
  2.6215E+03  7.9596E+01  7.9602E+01  7.9045E+01  7.7766E+01  7.3292E+01  1.0070E-03  6.5599E-03 -1.0485E-03
  2.7327E+03  8.3450E+01  8.3456E+01  8.2900E+01  8.1631E+01  7.7194E+01  1.0339E-03  6.6455E-03 -1.0532E-03
  2.8409E+03  8.7230E+01  8.7236E+01  8.6682E+01  8.5423E+01  8.1018E+01  1.0598E-03  6.7273E-03 -1.0576E-03
  2.9528E+03  9.1171E+01  9.1176E+01  9.0624E+01  8.9374E+01  8.5003E+01  1.0865E-03  6.8106E-03 -1.0621E-03
  3.0664E+03  9.5206E+01  9.5211E+01  9.4660E+01  9.3420E+01  8.9082E+01  1.1133E-03  6.8939E-03 -1.0665E-03
  3.1773E+03  9.9169E+01  9.9175E+01  9.8626E+01  9.7394E+01  9.3087E+01  1.1394E-03  6.9740E-03 -1.0707E-03
  3.2852E+03  1.0306E+02  1.0307E+02  1.0252E+02  1.0129E+02  9.7016E+01  1.1646E-03  7.0509E-03 -1.0747E-03
  3.3966E+03  1.0710E+02  1.0711E+02  1.0656E+02  1.0535E+02  1.0110E+02  1.1905E-03  7.1293E-03 -1.0788E-03
  7.7704E+01  1.0429E+00  1.0463E+00  4.3528E-01  0.0000E+00  0.0000E+00  2.4547E-04  3.7071E-03 -8.7758E-04
  8.1571E+01  1.3686E+00  1.3721E+00  7.6659E-01  0.0000E+00  0.0000E+00  2.7071E-04  3.8580E-03 -8.9011E-04
  8.5596E+01  1.6219E+00  1.6256E+00  1.0241E+00  0.0000E+00  0.0000E+00  2.9114E-04  3.9747E-03 -8.9957E-04
  9.2885E+01  1.9842E+00  1.9880E+00  1.3919E+00  0.0000E+00  0.0000E+00  3.2075E-04  4.1368E-03 -9.1239E-04
  9.2885E+01  1.9842E+00  1.9880E+00  1.3919E+00  9.1329E-07  0.0000E+00  3.2075E-04  4.1368E-03 -9.1239E-04
  1.0051E+02  2.3133E+00  2.3172E+00  1.7256E+00  3.7662E-01  0.0000E+00  3.4743E-04  4.2764E-03 -9.2316E-04
  1.0978E+02  2.6538E+00  2.6579E+00  2.0704E+00  7.4676E-01  0.0000E+00  3.7431E-04  4.4119E-03 -9.3337E-04
  1.1943E+02  2.9717E+00  2.9759E+00  2.3918E+00  1.0892E+00  0.0000E+00  3.9842E-04  4.5295E-03 -9.4206E-04
  1.3024E+02  3.3023E+00  3.3065E+00  2.7257E+00  1.4424E+00  0.0000E+00  4.2236E-04  4.6430E-03 -9.5030E-04
  1.4349E+02  3.6851E+00  3.6894E+00  3.1120E+00  1.8485E+00  0.0000E+00  4.4863E-04  4.7641E-03 -9.5895E-04
  1.5657E+02  4.0479E+00  4.0523E+00  3.4777E+00  2.2308E+00  0.0000E+00  4.7217E-04  4.8700E-03 -9.6638E-04
  1.7068E+02  4.4288E+00  4.4333E+00  3.8613E+00  2.6300E+00  0.0000E+00  4.9555E-04  4.9728E-03 -9.7348E-04
